"services.name","services.entities.name","services.entities.actions"
"LanguageUnderstanding","Feedback","View"
"ContentManagement","Document","Create"
,,"Update"
,,"Move"
,,"Copy"
,,"View"
,,"Download"
,,"ShareAdd"
,,"ShareRemove"
,,"Fax"
,,"VersionCreate"
,,"TagAdd"
,,"TagRemove"
,,"TagUpdate"
,"Workspace","Create"
,,"Update"
,,"Delete"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
"PeoplePermissions","AccessToken","Create"
,"OAuthClientAuthorization","Authorize"
,,"Deauthorize"
,"AuthOrganization","Update"
,"OAuthClient","Create"
,,"Update"
,,"Delete"
,"AuthUser","Authenticate"
,,"ChangePassword"
,"OrganizationAuthorizationTrust","Create"
,,"Update"
,,"Revoke"
,"OrganizationAuthorizationUserTrust","Create"
,,"Update"
,,"Revoke"
,"Role","Create"
,,"Update"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
,"VoicemailUserPolicy","Update"
"Presence","UserPresence","Create"
,,"Update"
,,"Delete"
"Architect","DependencyTrackingBuild","Delete"
,,"Update"
,"Flow","Activate"
,,"Checkin"
,,"Checkout"
,,"Create"
,,"Deactivate"
,,"Debug"
,,"Delete"
,,"Publish"
,,"Revert"
,,"Save"
,,"Update"
,"Prompt","Create"
,,"Delete"
,,"Update"
,"PromptResource","Create"
,,"Delete"
,,"Transcode"
,,"Update"
,,"Upload"
,"FlowOutcome","Create"
,,"Delete"
,,"Update"
,"FlowMilestone","Create"
,,"Delete"
,,"Update"
"ContactCenter","AgentRoutingInfo","Create"
,,"Update"
,,"Delete"
,"Queue","Create"
,,"Update"
,,"Delete"
,,"MemberAdd"
,,"MemberUpdate"
,,"MemberRemove"
,"WrapupCode","Create"
,,"Update"
,,"Delete"
,"MaxOrgRoutingUtilizationCapacity","Update"
,,"Delete"
,"ConversationAttributes","Update"
,"RoutingUtilizationTag","Create"
,,"Delete"
"Quality","Evaluation","Create"
,,"Read"
,,"Update"
,,"Delete"
,"Calibration","Create"
,,"Read"
,,"Update"
,,"Delete"
,"Survey","Create"
,,"Read"
,,"Update"
,,"Delete"
,"EvaluationForm","Create"
,,"Update"
,,"Delete"
,"SurveyForm","Create"
,,"Update"
,,"Delete"
,"Recording","Read"
,,"Create"
,,"Update"
,,"Delete"
,,"Abandon"
,,"Archive"
,,"Export"
,,"RestoreRequest"
,,"RestoreComplete"
,,"UpdateRetention"
,,"ApplyProtection"
,,"RevokeProtection"
,"ScreenRecording","Read"
,,"Create"
,,"Delete"
,,"Archive"
,,"Export"
,,"RestoreRequest"
,,"RestoreComplete"
,,"UpdateRetention"
,"BulkActions","Execute"
,,"Create"
,"OrphanedRecording","Create"
,,"Read"
,,"Delete"
,"Policy","Create"
,,"Read"
,,"Update"
,,"Delete"
,"RecordingAnnotation","Create"
,,"Read"
,,"Update"
,,"Delete"
,"RecordingSettings","Create"
,,"Update"
"SpeechAndTextAnalytics","Topic","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"Program","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"SentimentFeedback","Create"
,,"Delete"
,,"DeleteAll"
,"TranscriptionSettings","Create"
,,"Update"
,"SpeechTextAnalyticsSettings","Create"
,,"Update"
"PredictiveEngagement","Segment","Create"
,,"Update"
,,"Delete"
,"Outcome","Create"
,,"Update"
,,"Delete"
,"ActionMap","Create"
,,"Update"
,,"Delete"
,"ActionTemplate","Create"
,,"Update"
,,"Delete"
,"ClickstreamSettings","Create"
,,"Update"
,"EventType","Create"
,,"Update"
,,"Delete"
,"SessionType","Create"
,,"Update"
,,"Delete"
"Knowledge","KnowledgeBase","Create"
,,"Update"
,,"Delete"
,"KnowledgeCategory","Create"
,,"Update"
,,"Delete"
,"KnowledgeDocument","Create"
,,"Update"
,,"Delete"
,,"Upload"
,"KnowledgeDocumentVariation","Create"
,,"Update"
,,"Delete"
,"KnowledgeTraining","Create"
,,"Update"
,,"Delete"
,,"Publish"
,"KnowledgeSearchFeedback","Create"
,,"Update"
,,"Delete"
"Coaching","Appointment","Create"
,,"Update"
,,"Delete"
,"Annotation","Create"
,,"Update"
,,"Delete"
"Learning","Module","Create"
,,"Update"
,,"Delete"
,,"Publish"
,,"Reassign"
,,"Archive"
,,"Unarchive"
,"Rule","Activate"
,,"Update"
,,"Deactivate"
,"Assignment","Assign"
,,"Unassign"
,,"Reset"
,,"Reassign"
"WorkforceManagement","ActivityCode","Create"
,,"Update"
,,"Delete"
,"BusinessUnit","Create"
,,"Update"
,,"Delete"
,"Forecast","Create"
,,"Update"
,,"Delete"
,"ManagementUnit","Create"
,,"Update"
,,"Delete"
,"PlanningGroup","Create"
,,"Update"
,,"Delete"
,"Schedule","Create"
,,"Publish"
,,"Unpublish"
,,"Update"
,,"Delete"
,"ServiceGoalTemplate","Create"
,,"Update"
,,"Delete"
,"ShiftTrade","Create"
,,"Update"
,"TimeOffLimit","Create"
,,"Update"
,,"Delete"
,"TimeOffPlan","Create"
,,"Update"
,,"Delete"
,"TimeOffRequest","Create"
,,"Update"
,,"Delete"
,"WorkPlan","Create"
,,"Update"
,,"Delete"
,"WorkPlanRotation","Create"
,,"Update"
,,"Delete"
,"HistoricalData","Upload"
,,"Purge"
,,"Processed"
"Triggers","Trigger","Create"
,,"Update"
,,"Delete"
,,"Enable"
,,"Disable"
"ProcessAutomation","Trigger","Create"
,,"Update"
,,"Delete"
"ResponseManagement","Response","Create"
,,"Update"
,,"Delete"
,"ResponseAsset","Upload"
,,"Update"
,,"Delete"
"Groups","Team","Create"
,,"Update"
,,"Delete"
"Telephony","Edge","Create"
,,"Update"
,,"Delete"
,"EdgeGroup","Create"
,,"Update"
,,"Delete"
,"VoicemailPolicy","Update"
,"RoutingTranscriptionSettings","Update"
,"Trunk","Create"
,,"Update"
,,"Delete"
,"TrunkBase","Create"
,,"Update"
,,"Delete"
,"Schedule","Create"
,,"Update"
,,"Delete"
,"ScheduleGroup","Create"
,,"Update"
,,"Delete"
,"EmergencyGroup","Create"
,,"Update"
,,"Delete"
,"IVR","Create"
,,"Update"
,,"Delete"
,"DID","Create"
,,"Update"
,,"Delete"
,"DIDPool","Create"
,,"Update"
,,"Delete"
,"Extension","Create"
,,"Update"
,,"Delete"
