"userDetails.userId","userDetails.routingStatus.startTime","userDetails.routingStatus.routingStatus","totalHits","userDetails.primaryPresence.startTime","userDetails.primaryPresence.endTime","userDetails.primaryPresence.systemPresence","userDetails.primaryPresence.organizationPresenceId","userDetails.routingStatus.endTime"
"0b144ccb-504f-473a-99d1-1cc05fa06538","2022-07-27T03:30:56.041Z","OFF_QUEUE",77,,,,,
"11d6dba6-d5c4-42b6-a6a3-9adf8014470b","2022-07-27T03:30:56.179Z","OFF_QUEUE",,,,,,
"126058b5-e188-47da-b476-7467b29ef2ed","2022-07-27T03:30:56.119Z","OFF_QUEUE",,,,,,
"18db6387-92ec-4d1b-8db5-dcab7d83277f","2022-07-27T03:30:56.769Z","OFF_QUEUE",,,,,,
"2ebf357a-2cd9-48c7-b53b-3abb637deddc","2022-07-27T03:30:56.303Z","OFF_QUEUE",,,,,,
"374153b7-b867-4b62-96f9-e236e071f972","2022-07-27T03:30:55.829Z","OFF_QUEUE",,,,,,
"3a3667cc-f058-4858-9ec5-36a0bc4d325f","2022-07-27T03:30:56.626Z","OFF_QUEUE",,,,,,
"55e0f2e9-ffd1-4917-9829-33a02fc8a2ab","2022-07-26T07:49:40.147Z","INTERACTING",,"2022-07-26T07:49:42.541Z","2022-07-26T08:49:31.253Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f","2022-07-26T12:48:43.498Z"
,,,,"2022-07-26T08:49:31.253Z","2022-07-26T08:57:01.846Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-26T08:57:01.846Z","2022-07-26T09:35:05.288Z","AVAILABLE","6a3af858-942f-489d-9700-5f9bcdcdae9b",
,,,,"2022-07-26T09:35:05.288Z","2022-07-26T11:23:27.239Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-26T11:23:27.239Z","2022-07-26T11:58:03.259Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
,,,,"2022-07-26T11:58:03.259Z","2022-07-26T12:23:14.804Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f",
,,,,"2022-07-26T12:23:14.804Z","2022-07-26T12:48:35.670Z","OFFLINE","ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5",
