"userId","routingStatus.startTime","routingStatus.endTime","routingStatus.routingStatus","primaryPresence.startTime","primaryPresence.endTime","primaryPresence.systemPresence","primaryPresence.organizationPresenceId"
"0b144ccb-504f-473a-99d1-1cc05fa06538","2022-04-24T17:23:31.604Z","2022-07-27T03:30:56.041Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.041Z",,"OFF_QUEUE",,,,
"11d6dba6-d5c4-42b6-a6a3-9adf8014470b","2022-04-28T08:55:27.558Z","2022-07-27T03:30:56.179Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.179Z",,"OFF_QUEUE",,,,
"126058b5-e188-47da-b476-7467b29ef2ed","2022-04-20T06:02:54.525Z","2022-07-27T03:30:56.119Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.119Z",,"OFF_QUEUE",,,,
"18db6387-92ec-4d1b-8db5-dcab7d83277f","2022-04-24T17:23:32.415Z","2022-07-27T03:30:56.769Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.769Z",,"OFF_QUEUE",,,,
"2ebf357a-2cd9-48c7-b53b-3abb637deddc","2022-04-01T02:19:50.527Z","2022-07-27T03:30:56.303Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.303Z",,"OFF_QUEUE",,,,
"374153b7-b867-4b62-96f9-e236e071f972","2022-04-21T02:05:41.672Z","2022-07-27T03:30:55.829Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:55.829Z",,"OFF_QUEUE",,,,
"3a3667cc-f058-4858-9ec5-36a0bc4d325f","2022-04-24T17:23:32.092Z","2022-07-27T03:30:56.626Z","OFF_QUEUE",,,,
,"2022-07-27T03:30:56.626Z",,"OFF_QUEUE",,,,
"55e0f2e9-ffd1-4917-9829-33a02fc8a2ab","2022-07-08T07:25:36.415Z","2022-07-22T09:29:24.960Z","INTERACTING","2022-07-22T04:37:29.607Z","2022-07-22T10:57:50.345Z","ON_QUEUE","e08eaf1b-ee47-4fa9-a231-1200e284798f"
,"2022-07-22T09:29:24.960Z","2022-07-22T09:43:25.134Z","NOT_RESPONDING",,,,
,"2022-07-22T09:43:25.134Z","2022-07-22T09:43:25.135Z","INTERACTING",,,,
,"2022-07-22T09:43:25.135Z","2022-07-22T09:43:25.136Z","INTERACTING",,,,
,"2022-07-22T09:43:25.136Z","2022-07-22T09:43:25.137Z","INTERACTING",,,,
,"2022-07-22T09:43:25.137Z","2022-07-22T09:43:25.138Z","INTERACTING",,,,
,"2022-07-22T09:43:25.138Z","2022-07-26T07:48:23.593Z","INTERACTING",,,,
,"2022-07-26T07:48:23.593Z","2022-07-26T07:49:40.138Z","NOT_RESPONDING",,,,
,"2022-07-26T07:49:40.138Z","2022-07-26T07:49:40.139Z","INTERACTING",,,,
,"2022-07-26T07:49:40.139Z","2022-07-26T07:49:40.140Z","INTERACTING",,,,
,"2022-07-26T07:49:40.140Z","2022-07-26T07:49:40.141Z","INTERACTING",,,,
,"2022-07-26T07:49:40.141Z","2022-07-26T07:49:40.142Z","INTERACTING",,,,
,"2022-07-26T07:49:40.142Z","2022-07-26T07:49:40.143Z","INTERACTING",,,,
,"2022-07-26T07:49:40.143Z","2022-07-26T07:49:40.144Z","INTERACTING",,,,
,"2022-07-26T07:49:40.144Z","2022-07-26T07:49:40.145Z","INTERACTING",,,,
,"2022-07-26T07:49:40.145Z","2022-07-26T12:48:43.498Z","INTERACTING",,,,
,"2022-07-26T12:48:43.498Z","2022-07-26T12:52:45.370Z","IDLE",,,,
,"2022-07-26T12:52:45.370Z","2022-07-27T01:17:54.872Z","OFF_QUEUE",,,,
,"2022-07-27T01:17:54.872Z","2022-07-27T01:24:41.414Z","IDLE",,,,
,"2022-07-27T01:24:41.414Z","2022-07-27T01:32:31.604Z","NOT_RESPONDING",,,,
,"2022-07-27T01:32:31.604Z","2022-07-27T01:32:32.319Z","OFF_QUEUE",,,,
,"2022-07-27T01:32:32.319Z","2022-07-27T01:32:38.075Z","IDLE",,,,
,"2022-07-27T01:32:38.075Z","2022-07-27T01:32:41.179Z","NOT_RESPONDING",,,,
,"2022-07-27T01:32:41.179Z","2022-07-27T01:32:42.131Z","OFF_QUEUE",,,,
,"2022-07-27T01:32:42.131Z","2022-07-27T01:32:47.351Z","IDLE",,,,
,"2022-07-27T01:32:47.351Z","2022-07-27T01:33:01.946Z","INTERACTING",,,,
,"2022-07-27T01:33:01.946Z","2022-07-27T01:33:04.421Z","IDLE",,,,
,"2022-07-27T01:33:04.421Z","2022-07-27T01:33:22.746Z","INTERACTING",,,,
,"2022-07-27T01:33:22.746Z","2022-07-27T01:33:25.292Z","IDLE",,,,
,"2022-07-27T01:33:25.292Z","2022-07-27T01:33:34.061Z","INTERACTING",,,,
,"2022-07-27T01:33:34.061Z","2022-07-27T01:33:39.011Z","IDLE",,,,
